CDC	CHEFLIEU	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
1	1	26	71	153	1	98	2	(LE)	CREUSOT	(Le)	Creusot
1	1	11	93	029	1	96	0		DRANCY		Drancy
1	1	11	93	031	3	97	1		EPINAY-SUR-SEINE		Épinay-sur-Seine
1	1	25	61	169	2	99	0		FLERS		Flers
1	1	82	38	169	1	97	0		FONTAINE		Fontaine
1	1	93	83	061	1	96	0		FREJUS		Fréjus
1	1	01	971	13	2	96	2	(LE)	GOSIER	(Le)	Gosier
1	1	31	62	427	7	99	1		HENIN-BEAUMONT		Hénin-Beaumont
1	1	43	70	285	1	97	1		HERICOURT		Héricourt
1	1	93	83	069	2	97	1		HYERES		Hyères
1	1	06	976	10		98	0		KOUNGOU		Koungou
1	1	73	65	286	1	98	0		LOURDES		Lourdes
1	1	06	976	11		99	0		MAMOUDZOU		Mamoudzou
1	1	93	04	112	4	99	0		MANOSQUE		Manosque
1	1	73	81	163	2	99	0		MAZAMET		Mazamet
1	1	72	33	281	2	98	0		MERIGNAC		Mérignac
1	1	82	26	198	2	97	0		MONTELIMAR		Montélimar
1	1	11	93	048	1	98	0		MONTREUIL		Montreuil
1	1	72	33	318	2	99	0		PESSAC		Pessac
1	1	01	971	18	1	97	0		PETIT-BOURG		Petit-Bourg
1	1	94	2A	247	4	99	0		PORTO-VECCHIO		Porto-Vecchio
1	1	52	44	143	2	97	0		REZE		Rezé
1	1	82	26	281	3	98	0		ROMANS-SUR-ISERE		Romans-sur-Isère
1	1	31	59	512	5	98	0		ROUBAIX		Roubaix
1	1	04	974	09	3	91	0		SAINT-ANDRE		Saint-André
1	1	01	971	28	2	98	0		SAINTE-ANNE		Sainte-Anne
1	1	01	971	29	1	99	0		SAINTE-ROSE		Sainte-Rose
1	1	23	76	575	3	98	0		SAINT-ETIENNE-DU-ROUVRAY		Saint-Étienne-du-Rouvray
1	1	52	44	162	2	98	0		SAINT-HERBLAIN		Saint-Herblain
1	1	04	974	12	2	94	0		SAINT-JOSEPH		Saint-Joseph
1	1	04	974	13	4	95	0		SAINT-LEU		Saint-Leu
1	1	04	974	14	2	96	0		SAINT-LOUIS		Saint-Louis
1	1	11	94	068	1	96	0		SAINT-MAUR-DES-FOSSES		Saint-Maur-des-Fossés
1	1	93	13	103	1	99	0		SALON-DE-PROVENCE		Salon-de-Provence
1	1	93	83	126	2	98	3	(LA)	SEYNE-SUR-MER	(La)	Seyne-sur-Mer
1	1	23	76	681	3	99	0		SOTTEVILLE-LES-ROUEN		Sotteville-lès-Rouen
1	1	04	974	22	2	99	2	(LE)	TAMPON	(Le)	Tampon
1	1	31	59	599	5	99	0		TOURCOING		Tourcoing
1	1	11	94	078	1	97	0		VILLENEUVE-SAINT-GEORGES		Villeneuve-Saint-Georges
1	1	11	94	080	2	98	0		VINCENNES		Vincennes
1	1	11	94	081	1	99	0		VITRY-SUR-SEINE		Vitry-sur-Seine
	0	02	972	01	2		5	(L')	AJOUPA-BOUILLON	(L')	Ajoupa-Bouillon
	0	82	69	003	1		1		ALBIGNY-SUR-SAONE		Albigny-sur-Saône
	0	02	972	02	3		4	(LES)	ANSES-D'ARLET	(Les)	Anses-d'Arlet
	0	03	973	60	2		1		APATOU		Apatou
	0	03	973	61	2		1		AWALA-YALIMAPO		Awala-Yalimapo
1	0	06	976	03		97	0		BANDRELE		Bandrele
	0	02	972	03	2		0		BASSE-POINTE		Basse-Pointe
1	0	72	33	039	2	96	0		BEGLES		Bègles
	0	02	972	34	4		0		BELLEFONTAINE		Bellefontaine
1	0	01	971	06	1	95	0		BOUILLANTE		Bouillante
	0	82	69	029	1		0		BRON		Bron
1	0	11	91	114	2	98	0		BRUNOY		Brunoy
	0	82	69	033	1		0		CAILLOUX-SUR-FONTAINES		Cailloux-sur-Fontaines
	0	82	69	034	1		0		CALUIRE-ET-CUIRE		Caluire-et-Cuire
	0	03	973	56	1		0		CAMOPI		Camopi
	0	02	972	04	4		2	(LE)	CARBET	(Le)	Carbet
	0	02	972	05	4		0		CASE-PILOTE		Case-Pilote
	0	82	69	040	1		0		CHAMPAGNE-AU-MONT-D'OR		Champagne-au-Mont-d'Or
	0	82	69	044	1		0		CHARBONNIERES-LES-BAINS		Charbonnières-les-Bains
	0	82	69	046	1		0		CHARLY		Charly
	0	82	69	271	1		0		CHASSIEU		Chassieu
	0	82	69	063	1		0		COLLONGES-AU-MONT-D'OR		Collonges-au-Mont-d'Or
	0	82	69	273	1		0		CORBAS		Corbas
	0	82	69	068	1		0		COUZON-AU-MONT-D'OR		Couzon-au-Mont-d'Or
	0	82	69	069	1		0		CRAPONNE		Craponne
	0	82	69	071	1		0		CURIS-AU-MONT-D'OR		Curis-au-Mont-d'Or
	0	82	69	072	1		0		DARDILLY		Dardilly
	0	82	69	275	1		0		DECINES-CHARPIEU		Décines-Charpieu
	0	02	972	06	3		2	(LE)	DIAMANT	(Le)	Diamant
	0	02	972	07	3		0		DUCOS		Ducos
	0	82	69	081	1		1		ECULLY		Écully
	0	82	69	276	1		0		FEYZIN		Feyzin
	0	82	69	085	1		0		FLEURIEU-SUR-SAONE		Fleurieu-sur-Saône
	0	02	972	08	4		0		FONDS-SAINT-DENIS		Fonds-Saint-Denis
	0	82	69	087	1		0		FONTAINES-SAINT-MARTIN		Fontaines-Saint-Martin
	0	82	69	088	1		0		FONTAINES-SUR-SAONE		Fontaines-sur-Saône
	0	82	69	089	1		0		FRANCHEVILLE		Francheville
	0	02	972	10	3		2	(LE)	FRANCOIS	(Le)	François
	0	82	69	278	1		0		GENAY		Genay
	0	82	69	091	1		0		GIVORS		Givors
	0	02	972	11	2		0		GRAND'RIVIERE		Grand'Rivière
	0	03	973	57	2		0		GRAND-SANTI		Grand-Santi
	0	82	69	096	1		0		GRIGNY		Grigny
	0	02	972	12	2		0		GROS-MORNE		Gros-Morne
	0	03	973	03	1		1		IRACOUBO		Iracoubo
	0	82	69	100	1		1		IRIGNY		Irigny
	0	82	69	279	1		0		JONAGE		Jonage
	0	03	973	04	1		0		KOUROU		Kourou
	0	02	972	13	1		2	(LE)	LAMENTIN	(Le)	Lamentin
	0	82	69	116	1		0		LIMONEST		Limonest
	0	82	69	117	1		0		LISSIEU		Lissieu
	0	02	972	14	2		2	(LE)	LORRAIN	(Le)	Lorrain
	0	02	972	15	2		0		MACOUBA		Macouba
	0	03	973	05	1		0		MACOURIA		Macouria
	0	03	973	06	2		0		MANA		Mana
	0	82	69	127	1		0		MARCY-L'ETOILE		Marcy-l'Étoile
	0	02	972	16	2		2	(LE)	MARIGOT	(Le)	Marigot
	0	03	973	53	2		0		MARIPASOULA		Maripasoula
	0	03	973	07	1		0		MATOURY		Matoury
	0	82	69	282	1		0		MEYZIEU		Meyzieu
	0	82	69	283	1		0		MIONS		Mions
	0	82	69	284	1		0		MONTANAY		Montanay
1	0	11	91	421	2	99	0		MONTGERON		Montgeron
	0	03	973	13	1		0		MONTSINERY-TONNEGRANDE		Montsinéry-Tonnegrande
	0	02	972	18	4		2	(LE)	MORNE-ROUGE	(Le)	Morne-Rouge
	0	02	972	33	4		2	(LE)	MORNE-VERT	(Le)	Morne-Vert
	0	82	69	142	1		3	(LA)	MULATIERE	(La)	Mulatière
	0	82	69	143	1		0		NEUVILLE-SUR-SAONE		Neuville-sur-Saône
	0	03	973	14	1		1		OUANARY		Ouanary
